2024-08-08 23:01:17.828256	https://www.encodeproject.org/report/?type=File&lab.title=Jesse+Engreitz%2C+Stanford&annotation_type=element+gene+regulatory+interaction+predictions&output_type=elements+reference&field=%40id&field=accession&field=dataset&field=file_type&field=derived_from&field=output_type&field=aliases&limit=all
ID	Accession	Dataset	File type	Derived from	Output type	Aliases
/files/ENCFF957ENM/	ENCFF957ENM	/annotations/ENCSR686XXB/	bed bed3+	/files/ENCFF612MMX/	elements reference	jesse-engreitz:abc_predictions_activated_T-helper_2_cell_ENCSR780ABS_DNaseOnly_candidate_elements
/files/ENCFF597PIE/	ENCFF597PIE	/annotations/ENCSR344JQJ/	bed bed3+	/files/ENCFF642YUG/	elements reference	jesse-engreitz:abc_predictions_activated_effector_memory_CD4-positive__alpha-beta_T_cell_ENCSR173BJC_DNaseOnly_candidate_elements
/files/ENCFF182TQY/	ENCFF182TQY	/annotations/ENCSR445QEJ/	bed bed3+	/files/ENCFF996PZC/	elements reference	jesse-engreitz:abc_predictions_activated_effector_memory_CD4-positive__alpha-beta_T_cell_ENCSR692PKU_DNaseOnly_candidate_elements
/files/ENCFF430SBG/	ENCFF430SBG	/annotations/ENCSR479BDF/	bed bed3+	/files/ENCFF037RIQ/	elements reference	jesse-engreitz:abc_predictions_activated_T-cell_ENCSR223KKX_DNaseOnly_candidate_elements
/files/ENCFF911MHI/	ENCFF911MHI	/annotations/ENCSR111PUZ/	bed bed3+	/files/ENCFF600PZA/	elements reference	jesse-engreitz:abc_predictions_stimulated_activated_naive_B_cell_ENCSR438LZG_DNaseOnly_candidate_elements
/files/ENCFF433DKR/	ENCFF433DKR	/annotations/ENCSR699VBU/	bed bed3+	/files/ENCFF366GCV/	elements reference	jesse-engreitz:abc_predictions_stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR075MQZ_DNaseOnly_candidate_elements
/files/ENCFF149ZOO/	ENCFF149ZOO	/annotations/ENCSR521ZKY/	bed bed3+	/files/ENCFF413BUL/	elements reference	jesse-engreitz:abc_predictions_stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR933HFM_DNaseOnly_candidate_elements
/files/ENCFF820NOI/	ENCFF820NOI	/annotations/ENCSR731OOT/	bed bed3+	/files/ENCFF996KZH/	elements reference	jesse-engreitz:abc_predictions_activated_CD4-positive__alpha-beta_memory_T_cell_ENCSR021YFW_DNaseOnly_candidate_elements
/files/ENCFF697ANC/	ENCFF697ANC	/annotations/ENCSR837MZI/	bed bed3+	/files/ENCFF417SCC/	elements reference	jesse-engreitz:abc_predictions_activated_CD4-positive__alpha-beta_memory_T_cell_ENCSR720TCN_DNaseOnly_candidate_elements
/files/ENCFF411SMC/	ENCFF411SMC	/annotations/ENCSR042SRX/	bed bed3+	/files/ENCFF618UIG/	elements reference	jesse-engreitz:abc_predictions_activated_naive_CD8-positive__alpha-beta_T_cell_ENCSR518YYX_DNaseOnly_candidate_elements
/files/ENCFF317SYR/	ENCFF317SYR	/annotations/ENCSR584AAP/	bed bed3+	/files/ENCFF537MJV/,/files/ENCFF243DDA/	elements reference	jesse-engreitz:abc_predictions_nephron_progenitor_cell_ENCSR503UNA_DNaseOnly_candidate_elements
/files/ENCFF180PMD/	ENCFF180PMD	/annotations/ENCSR340HCM/	bed bed3+	/files/ENCFF109IYW/	elements reference	jesse-engreitz:abc_predictions_activated_naive_CD4-positive__alpha-beta_T_cell_ENCSR100OSB_DNaseOnly_candidate_elements
/files/ENCFF173TBL/	ENCFF173TBL	/annotations/ENCSR228ISC/	bed bed3+	/files/ENCFF636CPJ/	elements reference	jesse-engreitz:abc_predictions_activated_naive_CD4-positive__alpha-beta_T_cell_ENCSR478SWA_DNaseOnly_candidate_elements
/files/ENCFF553YHA/	ENCFF553YHA	/annotations/ENCSR222IQS/	bed bed3+	/files/ENCFF563PQP/	elements reference	jesse-engreitz:abc_predictions_stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR616AEG_DNaseOnly_candidate_elements
/files/ENCFF235ICL/	ENCFF235ICL	/annotations/ENCSR565FRQ/	bed bed3+	/files/ENCFF201JJE/	elements reference	jesse-engreitz:abc_predictions_fibroblast_of_skin_of_left_quadriceps_ENCSR555TFE_DNaseOnly_candidate_elements
/files/ENCFF939SWL/	ENCFF939SWL	/annotations/ENCSR115DEH/	bed bed3+	/files/ENCFF505CBU/,/files/ENCFF518EFO/	elements reference	jesse-engreitz:abc_predictions_ELR_ENCSR240TPI_DNaseOnly_candidate_elements
/files/ENCFF761RZJ/	ENCFF761RZJ	/annotations/ENCSR481MDA/	bed bed3+	/files/ENCFF376XJI/	elements reference	jesse-engreitz:abc_predictions_GM23338_ENCSR108PUO_DNaseOnly_candidate_elements
/files/ENCFF525TAE/	ENCFF525TAE	/annotations/ENCSR605TTF/	bed bed3+	/files/ENCFF398QOP/	elements reference	jesse-engreitz:abc_predictions_activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR442SDV_DNaseOnly_candidate_elements
/files/ENCFF450WIJ/	ENCFF450WIJ	/annotations/ENCSR678ICB/	bed bed3+	/files/ENCFF296YWF/	elements reference	jesse-engreitz:abc_predictions_activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR950YTI_DNaseOnly_candidate_elements
/files/ENCFF815PEG/	ENCFF815PEG	/annotations/ENCSR737IGP/	bed bed3+	/files/ENCFF443OOK/,/files/ENCFF162WTC/	elements reference	jesse-engreitz:abc_predictions_HAP-1_ENCSR895KTN_DNaseOnly_candidate_elements
/files/ENCFF407ZSV/	ENCFF407ZSV	/annotations/ENCSR610QMI/	bed bed3+	/files/ENCFF629NOO/	elements reference	jesse-engreitz:abc_predictions_activated_T-cell_ENCSR273GCF_DNaseOnly_candidate_elements
/files/ENCFF959PCR/	ENCFF959PCR	/annotations/ENCSR831IJO/	bed bed3+	/files/ENCFF079PCT/	elements reference	jesse-engreitz:abc_predictions_stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR245AXW_DNaseOnly_candidate_elements
/files/ENCFF200DUN/	ENCFF200DUN	/annotations/ENCSR686KWJ/	bed bed3+	/files/ENCFF177WIF/	elements reference	jesse-engreitz:abc_predictions_stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR607HIL_DNaseOnly_candidate_elements
/files/ENCFF833JXC/	ENCFF833JXC	/annotations/ENCSR908LYB/	bed bed3+	/files/ENCFF329KNS/	elements reference	jesse-engreitz:abc_predictions_stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR548KXH_DNaseOnly_candidate_elements
/files/ENCFF651OUI/	ENCFF651OUI	/annotations/ENCSR809DGT/	bed bed3+	/files/ENCFF965IXQ/	elements reference	jesse-engreitz:abc_predictions_stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR799MAX_DNaseOnly_candidate_elements
/files/ENCFF371JKK/	ENCFF371JKK	/annotations/ENCSR115NZJ/	bed bed3+	/files/ENCFF804HWB/	elements reference	jesse-engreitz:abc_predictions_stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR634ZYB_DNaseOnly_candidate_elements
/files/ENCFF123ONL/	ENCFF123ONL	/annotations/ENCSR142IYT/	bed bed3+	/files/ENCFF597GTV/	elements reference	jesse-engreitz:abc_predictions_stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR323TXQ_DNaseOnly_candidate_elements
/files/ENCFF591WKY/	ENCFF591WKY	/annotations/ENCSR028OMO/	bed bed3+	/files/ENCFF445MCI/	elements reference	jesse-engreitz:abc_predictions_stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR255OGF_DNaseOnly_candidate_elements
/files/ENCFF833OQX/	ENCFF833OQX	/annotations/ENCSR135RVI/	bed bed3+	/files/ENCFF373ODF/	elements reference	jesse-engreitz:abc_predictions_stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR579DBA_DNaseOnly_candidate_elements
/files/ENCFF732ZQB/	ENCFF732ZQB	/annotations/ENCSR219ZSX/	bed bed3+	/files/ENCFF104EGX/	elements reference	jesse-engreitz:abc_predictions_activated_naive_CD4-positive__alpha-beta_T_cell_ENCSR778DWG_DNaseOnly_candidate_elements
/files/ENCFF644XCD/	ENCFF644XCD	/annotations/ENCSR606BRW/	bed bed3+	/files/ENCFF057ECO/	elements reference	jesse-engreitz:abc_predictions_activated_naive_CD4-positive__alpha-beta_T_cell_ENCSR386BOX_DNaseOnly_candidate_elements
/files/ENCFF086DGX/	ENCFF086DGX	/annotations/ENCSR743NLT/	bed bed3+	/files/ENCFF030PNE/	elements reference	jesse-engreitz:abc_predictions_activated_naive_CD4-positive__alpha-beta_T_cell_ENCSR515PDV_DNaseOnly_candidate_elements
/files/ENCFF963LXL/	ENCFF963LXL	/annotations/ENCSR464GSY/	bed bed3+	/files/ENCFF715YXX/,/files/ENCFF492WXQ/	elements reference	jesse-engreitz:abc_predictions_WTC11_ENCSR785ZUI_DNaseOnly_candidate_elements
/files/ENCFF741ACC/	ENCFF741ACC	/annotations/ENCSR909XUK/	bed bed3+	/files/ENCFF884HMI/	elements reference	jesse-engreitz:abc_predictions_ecto_neural_progenitor_cell_ENCSR360XIS_DNaseOnly_candidate_elements
/files/ENCFF993LGU/	ENCFF993LGU	/annotations/ENCSR848BJP/	bed bed3+	/files/ENCFF061DCP/,/files/ENCFF949OOT/	elements reference	jesse-engreitz:abc_predictions_HCEC_1CT_ENCSR038XTK_DNaseOnly_candidate_elements
/files/ENCFF148YJI/	ENCFF148YJI	/annotations/ENCSR676IGH/	bed bed3+	/files/ENCFF930YYX/	elements reference	jesse-engreitz:abc_predictions_H7_ENCSR000EJO_DNaseOnly_candidate_elements
/files/ENCFF616ZET/	ENCFF616ZET	/annotations/ENCSR082HOQ/	bed bed3+	/files/ENCFF689MGG/	elements reference	jesse-engreitz:abc_predictions_iPS-NIHi11_ENCSR000EKJ_DNaseOnly_candidate_elements
/files/ENCFF579WYE/	ENCFF579WYE	/annotations/ENCSR027MJC/	bed bed3+	/files/ENCFF638KHD/	elements reference	jesse-engreitz:abc_predictions_head_of_caudate_nucleus_ENCSR849CYU_DNaseOnly_candidate_elements
/files/ENCFF893HTU/	ENCFF893HTU	/annotations/ENCSR107AVB/	bed bed3+	/files/ENCFF228KAA/	elements reference	jesse-engreitz:abc_predictions_T-helper_17_cell_ENCSR731KDL_DNaseOnly_candidate_elements
/files/ENCFF374LCD/	ENCFF374LCD	/annotations/ENCSR261VHD/	bed bed3+	/files/ENCFF517TMD/	elements reference	jesse-engreitz:abc_predictions_naive_thymus-derived_CD8-positive__alpha-beta_T_cell_ENCSR367WVH_DNaseOnly_candidate_elements
/files/ENCFF891HRF/	ENCFF891HRF	/annotations/ENCSR312XVI/	bed bed3+	/files/ENCFF516AFP/	elements reference	jesse-engreitz:abc_predictions_activated_CD4-positive__alpha-beta_T_cell_ENCSR436JRE_DNaseOnly_candidate_elements
/files/ENCFF088SMD/	ENCFF088SMD	/annotations/ENCSR813WBA/	bed bed3+	/files/ENCFF581PGG/	elements reference	jesse-engreitz:abc_predictions_activated_CD4-positive__alpha-beta_T_cell_ENCSR322BYN_DNaseOnly_candidate_elements
/files/ENCFF326OXI/	ENCFF326OXI	/annotations/ENCSR764OFW/	bed bed3+	/files/ENCFF836TDX/	elements reference	jesse-engreitz:abc_predictions_activated_CD4-positive__alpha-beta_T_cell_ENCSR312ZTS_DNaseOnly_candidate_elements
/files/ENCFF897XXQ/	ENCFF897XXQ	/annotations/ENCSR779MUH/	bed bed3+	/files/ENCFF968IHM/	elements reference	jesse-engreitz:abc_predictions_activated_CD4-positive__alpha-beta_T_cell_ENCSR493IQY_DNaseOnly_candidate_elements
/files/ENCFF860JCS/	ENCFF860JCS	/annotations/ENCSR214EAH/	bed bed3+	/files/ENCFF196CBF/	elements reference	jesse-engreitz:abc_predictions_head_of_caudate_nucleus_ENCSR516RTV_DNaseOnly_candidate_elements
/files/ENCFF777RCQ/	ENCFF777RCQ	/annotations/ENCSR239PSK/	bed bed3+	/files/ENCFF344GNL/	elements reference	jesse-engreitz:abc_predictions_activated_CD4-positive__alpha-beta_T_cell_ENCSR604FER_DNaseOnly_candidate_elements
/files/ENCFF230BZO/	ENCFF230BZO	/annotations/ENCSR722ELH/	bed bed3+	/files/ENCFF274KXI/	elements reference	jesse-engreitz:abc_predictions_T-helper_17_cell_ENCSR000EQF_DNaseOnly_candidate_elements
/files/ENCFF533LTK/	ENCFF533LTK	/annotations/ENCSR756WAN/	bed bed3+	/files/ENCFF706MJM/	elements reference	jesse-engreitz:abc_predictions_head_of_caudate_nucleus_ENCSR775KLH_DNaseOnly_candidate_elements
/files/ENCFF827MIK/	ENCFF827MIK	/annotations/ENCSR709RTL/	bed bed3+	/files/ENCFF301RBU/	elements reference	jesse-engreitz:abc_predictions_T-helper_17_cell_ENCSR139KYP_DNaseOnly_candidate_elements
/files/ENCFF102HLW/	ENCFF102HLW	/annotations/ENCSR695DAU/	bed bed3+	/files/ENCFF334PXE/	elements reference	jesse-engreitz:abc_predictions_head_of_caudate_nucleus_ENCSR802NBC_DNaseOnly_candidate_elements
/files/ENCFF769WYZ/	ENCFF769WYZ	/annotations/ENCSR551WBF/	bed bed3+	/files/ENCFF600KBG/	elements reference	jesse-engreitz:abc_predictions_T-helper_17_cell_ENCSR623PVB_DNaseOnly_candidate_elements
/files/ENCFF112BMM/	ENCFF112BMM	/annotations/ENCSR097KSH/	bed bed3+	/files/ENCFF827CMG/	elements reference	jesse-engreitz:abc_predictions_CD4-positive__alpha-beta_memory_T_cell_ENCSR526TFD_DNaseOnly_candidate_elements
/files/ENCFF766YEK/	ENCFF766YEK	/annotations/ENCSR530SWV/	bed bed3+	/files/ENCFF640GEZ/	elements reference	jesse-engreitz:abc_predictions_activated_CD4-positive__alpha-beta_T_cell_ENCSR323LVJ_DNaseOnly_candidate_elements
/files/ENCFF481YTD/	ENCFF481YTD	/annotations/ENCSR352LUA/	bed bed3+	/files/ENCFF686VLF/	elements reference	jesse-engreitz:abc_predictions_CD4-positive__alpha-beta_memory_T_cell_ENCSR977UMU_DNaseOnly_candidate_elements
/files/ENCFF538ATA/	ENCFF538ATA	/annotations/ENCSR568FSF/	bed bed3+	/files/ENCFF580TLN/	elements reference	jesse-engreitz:abc_predictions_head_of_caudate_nucleus_ENCSR814DYF_DNaseOnly_candidate_elements
/files/ENCFF949NRA/	ENCFF949NRA	/annotations/ENCSR747FFM/	bed bed3+	/files/ENCFF283AWX/	elements reference	jesse-engreitz:abc_predictions_HEK293T_ENCSR000EJR_DNaseOnly_candidate_elements
/files/ENCFF573ZQL/	ENCFF573ZQL	/annotations/ENCSR157MXU/	bed bed3+	/files/ENCFF891KGR/	elements reference	jesse-engreitz:abc_predictions_gastrocnemius_medialis_ENCSR856XLJ_DNaseOnly_candidate_elements
/files/ENCFF378BPF/	ENCFF378BPF	/annotations/ENCSR197RFH/	bed bed3+	/files/ENCFF147OGX/	elements reference	jesse-engreitz:abc_predictions_dorsolateral_prefrontal_cortex_ENCSR306LNA_DNaseOnly_candidate_elements
/files/ENCFF194VJT/	ENCFF194VJT	/annotations/ENCSR149VUN/	bed bed3+	/files/ENCFF508VVI/	elements reference	jesse-engreitz:abc_predictions_dorsolateral_prefrontal_cortex_ENCSR329FHR_DNaseOnly_candidate_elements
/files/ENCFF833ARN/	ENCFF833ARN	/annotations/ENCSR557ZED/	bed bed3+	/files/ENCFF203RLS/,/files/ENCFF427KSA/	elements reference	jesse-engreitz:abc_predictions_brain_microvascular_endothelial_cell_ENCSR000ENE_DNaseOnly_candidate_elements
/files/ENCFF291KTZ/	ENCFF291KTZ	/annotations/ENCSR294KZV/	bed bed3+	/files/ENCFF301WKE/	elements reference	jesse-engreitz:abc_predictions_dorsolateral_prefrontal_cortex_ENCSR401UZL_DNaseOnly_candidate_elements
/files/ENCFF634RDG/	ENCFF634RDG	/annotations/ENCSR167SMG/	bed bed3+	/files/ENCFF632FSE/	elements reference	jesse-engreitz:abc_predictions_HK-2_ENCSR634YVQ_DNaseOnly_candidate_elements
/files/ENCFF225PZI/	ENCFF225PZI	/annotations/ENCSR258DMJ/	bed bed3+	/files/ENCFF418AJG/	elements reference	jesse-engreitz:abc_predictions_dorsolateral_prefrontal_cortex_ENCSR419KXU_DNaseOnly_candidate_elements
/files/ENCFF081NZX/	ENCFF081NZX	/annotations/ENCSR165ODW/	bed bed3+	/files/ENCFF956CDV/,/files/ENCFF541WWN/,/files/ENCFF225LKK/,/files/ENCFF282JQS/	elements reference	jesse-engreitz:abc_predictions_A549_ENCSR077EYC_DNaseOnly_candidate_elements
/files/ENCFF329MTO/	ENCFF329MTO	/annotations/ENCSR155RBZ/	bed bed3+	/files/ENCFF246QEH/	elements reference	jesse-engreitz:abc_predictions_dorsolateral_prefrontal_cortex_ENCSR498RLX_DNaseOnly_candidate_elements
/files/ENCFF374CON/	ENCFF374CON	/annotations/ENCSR805BXG/	bed bed3+	/files/ENCFF443NXJ/,/files/ENCFF623AMI/	elements reference	jesse-engreitz:abc_predictions_Jurkat__Clone_E6-1_ENCSR000EOS_DNaseOnly_candidate_elements
/files/ENCFF161HJA/	ENCFF161HJA	/annotations/ENCSR128FYS/	bed bed3+	/files/ENCFF892OLB/	elements reference	jesse-engreitz:abc_predictions_dorsolateral_prefrontal_cortex_ENCSR532DBH_DNaseOnly_candidate_elements
/files/ENCFF042DCM/	ENCFF042DCM	/annotations/ENCSR151YGP/	bed bed3+	/files/ENCFF902LXF/	elements reference	jesse-engreitz:abc_predictions_dorsolateral_prefrontal_cortex_ENCSR571CJM_DNaseOnly_candidate_elements
/files/ENCFF290FUM/	ENCFF290FUM	/annotations/ENCSR503MEB/	bed bed3+	/files/ENCFF803HRW/	elements reference	jesse-engreitz:abc_predictions_left_renal_pelvis_ENCSR016THC_DNaseOnly_candidate_elements
/files/ENCFF289HQT/	ENCFF289HQT	/annotations/ENCSR825CKF/	bed bed3+	/files/ENCFF144XNA/	elements reference	jesse-engreitz:abc_predictions_natural_killer_cell_ENCSR407WGG_DNaseOnly_candidate_elements
/files/ENCFF924HKG/	ENCFF924HKG	/annotations/ENCSR418ZMF/	bed bed3+	/files/ENCFF655EDA/	elements reference	jesse-engreitz:abc_predictions_CD4-positive__alpha-beta_T_cell_ENCSR569ATD_DNaseOnly_candidate_elements
/files/ENCFF936NMX/	ENCFF936NMX	/annotations/ENCSR107YIW/	bed bed3+	/files/ENCFF500RTP/	elements reference	jesse-engreitz:abc_predictions_central_memory_CD8-positive__alpha-beta_T_cell_ENCSR160VHJ_DNaseOnly_candidate_elements
/files/ENCFF438HSI/	ENCFF438HSI	/annotations/ENCSR336YYB/	bed bed3+	/files/ENCFF949QMT/	elements reference	jesse-engreitz:abc_predictions_posterior_cingulate_gyrus_ENCSR249RFY_DNaseOnly_candidate_elements
/files/ENCFF354NNJ/	ENCFF354NNJ	/annotations/ENCSR913WNG/	bed bed3+	/files/ENCFF100WCS/	elements reference	jesse-engreitz:abc_predictions_posterior_cingulate_gyrus_ENCSR258POP_DNaseOnly_candidate_elements
/files/ENCFF963RAS/	ENCFF963RAS	/annotations/ENCSR266WFI/	bed bed3+	/files/ENCFF305GMO/	elements reference	jesse-engreitz:abc_predictions_effector_memory_CD8-positive__alpha-beta_T_cell_ENCSR582MYC_DNaseOnly_candidate_elements
/files/ENCFF533UGH/	ENCFF533UGH	/annotations/ENCSR706ZYQ/	bed bed3+	/files/ENCFF032RAK/	elements reference	jesse-engreitz:abc_predictions_posterior_cingulate_gyrus_ENCSR577QZP_DNaseOnly_candidate_elements
/files/ENCFF824CYR/	ENCFF824CYR	/annotations/ENCSR557PDH/	bed bed3+	/files/ENCFF175LRM/,/files/ENCFF447PAS/	elements reference	jesse-engreitz:abc_predictions_CD14-positive_monocyte_ENCSR000ELE_DNaseOnly_candidate_elements
/files/ENCFF321ALE/	ENCFF321ALE	/annotations/ENCSR274ORH/	bed bed3+	/files/ENCFF114KWN/	elements reference	jesse-engreitz:abc_predictions_naive_thymus-derived_CD8-positive__alpha-beta_T_cell_ENCSR938OKL_DNaseOnly_candidate_elements
/files/ENCFF507ADL/	ENCFF507ADL	/annotations/ENCSR991GLF/	bed bed3+	/files/ENCFF448YNZ/	elements reference	jesse-engreitz:abc_predictions_central_memory_CD4-positive__alpha-beta_T_cell_ENCSR234FTX_DNaseOnly_candidate_elements
/files/ENCFF823YLT/	ENCFF823YLT	/annotations/ENCSR724TRX/	bed bed3+	/files/ENCFF275CHT/	elements reference	jesse-engreitz:abc_predictions_central_memory_CD8-positive__alpha-beta_T_cell_ENCSR560UTV_DNaseOnly_candidate_elements
/files/ENCFF559LBW/	ENCFF559LBW	/annotations/ENCSR817AQF/	bed bed3+	/files/ENCFF423ULQ/	elements reference	jesse-engreitz:abc_predictions_posterior_cingulate_gyrus_ENCSR365FVU_DNaseOnly_candidate_elements
/files/ENCFF458FAA/	ENCFF458FAA	/annotations/ENCSR034TGA/	bed bed3+	/files/ENCFF936XZE/	elements reference	jesse-engreitz:abc_predictions_posterior_cingulate_gyrus_ENCSR502FPR_DNaseOnly_candidate_elements
/files/ENCFF166CXS/	ENCFF166CXS	/annotations/ENCSR006VBD/	bed bed3+	/files/ENCFF223HZW/	elements reference	jesse-engreitz:abc_predictions_posterior_cingulate_gyrus_ENCSR503UFM_DNaseOnly_candidate_elements
/files/ENCFF219RDW/	ENCFF219RDW	/annotations/ENCSR980SJL/	bed bed3+	/files/ENCFF713RLY/	elements reference	jesse-engreitz:abc_predictions_effector_memory_CD8-positive__alpha-beta_T_cell_ENCSR892LQT_DNaseOnly_candidate_elements
/files/ENCFF149HNE/	ENCFF149HNE	/annotations/ENCSR913OIF/	bed bed3+	/files/ENCFF309COD/	elements reference	jesse-engreitz:abc_predictions_effector_memory_CD4-positive__alpha-beta_T_cell_ENCSR582QEW_DNaseOnly_candidate_elements
/files/ENCFF112POB/	ENCFF112POB	/annotations/ENCSR473XTF/	bed bed3+	/files/ENCFF891KVE/	elements reference	jesse-engreitz:abc_predictions_effector_memory_CD4-positive__alpha-beta_T_cell_ENCSR607EJV_DNaseOnly_candidate_elements
/files/ENCFF894GME/	ENCFF894GME	/annotations/ENCSR046CKU/	bed bed3+	/files/ENCFF939RXC/	elements reference	jesse-engreitz:abc_predictions_stomach_ENCSR930YSB_DNaseOnly_candidate_elements
/files/ENCFF416QUX/	ENCFF416QUX	/annotations/ENCSR464EVX/	bed bed3+	/files/ENCFF469UQW/	elements reference	jesse-engreitz:abc_predictions_stomach_ENCSR726YMS_DNaseOnly_candidate_elements
/files/ENCFF788GGC/	ENCFF788GGC	/annotations/ENCSR275NYM/	bed bed3+	/files/ENCFF022OEC/,/files/ENCFF360YPK/	elements reference	jesse-engreitz:abc_predictions_heart_ENCSR000EJQ_DNaseOnly_candidate_elements
